包名,可疑评论占比(T1=0.4),可疑评论占比(T1=0.6),可疑评论占比(T1=0.8),评论用户占可疑用户比例(T1=0.4),评论用户占可疑用户比例(T1=0.6),评论用户占可疑用户比例(T1=0.8)
com.a55haitao.wwht,0.41818181818181815,0.26545454545454544,0.23636363636363636,0.003942676906198574,0.0030747199056524303,0.0029255558556125663
com.senty.android.babystory,0.6304347826086957,0.6195652173913043,0.5706521739130435,0.0023656061437191444,0.002822003201078258,0.002835538752362949
com.dalongtech.cloud,0.03150984682713348,0.026695842450765863,0.0262582056892779,0.0022970378496982996,0.0025271670457417236,0.002655504545863714
com.rac7.DarkEcho,0.26576576576576577,0.22409909909909909,0.18018018018018017,0.002982720789906747,0.00286412265184062,0.002610495994238905
com.metals,0.23195876288659795,0.16494845360824742,0.16494845360824742,0.002434174437739989,0.0024008086934546374,0.002565487442614097
com.haitao,0.24150943396226415,0.21509433962264152,0.21509433962264152,0.00215990126165661,0.0023586892426922753,0.002520478890989288
com.yueye.zhongguofangkuai,0.717948717948718,0.6239316239316239,0.5811965811965812,0.0023656061437191444,0.0025271670457417236,0.002520478890989288
com.yisheng.baijindai,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.0018513439385628085,0.002274450341167551,0.0024304617877396704
com.happigo.activity,0.4742268041237113,0.16494845360824742,0.12628865979381443,0.005828304991771805,0.002695644848791172,0.002205419029615627
com.yycredit.app,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.0016799232035106966,0.0020638530873557407,0.002205419029615627
com.cn.android.meixi,0.8172983479105929,0.11273080660835763,0.052478134110787174,0.00908529895776193,0.003032600454890068,0.002070393374741201
com.stdk.hjdk,0.9038461538461539,0.8653846153846154,0.8653846153846154,0.0015770707624794295,0.0018953752843062926,0.002025384823116392
lqh.dream.llk,0.18220338983050846,0.1694915254237288,0.1694915254237288,0.0014742183214481624,0.0016847780304944824,0.0018003420649923484
com.lhyy.childrenfishing,0.696969696969697,0.6363636363636364,0.6363636363636364,0.00143993417443774,0.0016426585797321203,0.0017553335133675399
com.doding.childrenmusic,0.8,0.7166666666666667,0.6666666666666666,0.0015770707624794295,0.0017268974812568445,0.001710324961742731
com.csii.hkb,0.45,0.45,0.45,0.0012342292923752057,0.001516300227445034,0.0016203078584931137
com.huishuakapa19.credit,0.26153846153846155,0.26153846153846155,0.26153846153846155,0.001165660998354361,0.00143206132592031,0.0015302907552434963
com.lhyy.childrenpuzzle,0.7678571428571429,0.5535714285714286,0.5535714285714286,0.00143993417443774,0.001305702973633224,0.0013952651003690702
com.miaomiaoapp.tinydungeon1,0.19379194630872484,0.0662751677852349,0.06208053691275168,0.0032912781130005485,0.0013899418751579479,0.0013952651003690702
com.dwzyttkp.game,0.6612903225806451,0.5806451612903226,0.5,0.0013370817334064729,0.00143206132592031,0.0013052479971194526
